docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:51 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
